135380	60.0	270.0	79.0	4.0
135391	60.0	270.0	80.0	3.0
135400	60.0	270.0	81.0	2.0
135410	60.0	270.0	82.0	1.0
135420	60.0	270.0	83.0	1.0
135431	60.0	270.0	84.0	0.0
135440	60.0	270.0	85.0	0.0
135450	60.0	270.0	86.0	0.0
135460	60.0	270.0	87.0	0.0
135471	60.0	270.0	87.0	0.0
135480	60.0	270.0	88.0	0.0
135490	60.0	270.0	89.0	0.0
135500	60.0	270.0	90.0	0.0
135511	60.0	270.0	91.0	-1.0
135521	60.0	270.0	92.0	-1.0
135530	90.0	270.0	89.0	10.0
135540	90.0	270.0	91.0	8.0
135550	90.0	270.0	92.0	6.0
135561	90.0	300.0	93.0	3.0
135570	90.0	300.0	94.0	2.0
135580	90.0	300.0	95.0	1.0
135590	90.0	300.0	96.0	0.0
135601	90.0	300.0	97.0	0.0
135611	120.0	300.0	95.0	11.0
135620	120.0	300.0	96.0	9.0
135630	120.0	300.0	97.0	7.0
135641	120.0	300.0	99.0	6.0
135651	120.0	300.0	100.0	4.0
135660	120.0	300.0	101.0	3.0
135670	120.0	300.0	102.0	3.0
135681	120.0	300.0	103.0	2.0
135691	120.0	300.0	104.0	1.0
135701	120.0	300.0	105.0	1.0
135710	120.0	300.0	105.0	1.0
135720	120.0	300.0	106.0	0.0
135731	120.0	300.0	107.0	0.0
135741	150.0	300.0	105.0	11.0
135750	150.0	300.0	106.0	9.0
135760	150.0	300.0	107.0	8.0
135771	150.0	300.0	109.0	6.0
135781	150.0	300.0	110.0	5.0
135791	150.0	300.0	111.0	4.0
135800	150.0	300.0	112.0	3.0
135811	150.0	300.0	113.0	3.0
135821	150.0	300.0	114.0	2.0
135831	180.0	300.0	111.0	13.0
135840	180.0	300.0	113.0	11.0
135851	180.0	300.0	114.0	9.0
135861	180.0	300.0	115.0	8.0
135871	180.0	300.0	116.0	7.0
135880	180.0	300.0	117.0	6.0
135890	180.0	300.0	118.0	5.0
135901	180.0	300.0	119.0	4.0
135911	180.0	300.0	120.0	4.0
135921	180.0	300.0	121.0	3.0
135930	210.0	300.0	122.0	3.0
135941	210.0	300.0	120.0	14.0
135951	210.0	300.0	121.0	12.0
135961	210.0	300.0	122.0	10.0
135970	210.0	300.0	123.0	9.0
135981	210.0	300.0	124.0	7.0
135991	210.0	300.0	125.0	6.0
136001	210.0	300.0	126.0	6.0
136011	210.0	300.0	127.0	5.0
136020	210.0	300.0	128.0	4.0
136031	210.0	300.0	129.0	4.0
136041	210.0	300.0	130.0	4.0
136051	210.0	300.0	131.0	3.0
136060	240.0	300.0	129.0	15.0
136071	240.0	300.0	130.0	13.0
136081	240.0	300.0	131.0	11.0
136091	240.0	300.0	132.0	9.0
136101	240.0	300.0	133.0	8.0
136111	240.0	300.0	135.0	7.0
136121	240.0	300.0	136.0	7.0
136131	240.0	300.0	136.0	6.0
136141	240.0	300.0	137.0	5.0
136151	270.0	300.0	135.0	16.0
136161	270.0	300.0	137.0	14.0
136171	270.0	300.0	138.0	12.0
136181	270.0	300.0	139.0	11.0
136190	270.0	300.0	140.0	10.0
136201	270.0	300.0	141.0	9.0
136211	270.0	300.0	142.0	8.0
136221	270.0	300.0	143.0	7.0
136231	270.0	300.0	144.0	7.0
136241	270.0	300.0	145.0	6.0
136251	270.0	300.0	146.0	6.0
136261	270.0	300.0	147.0	5.0
136271	270.0	300.0	148.0	5.0
136281	270.0	300.0	148.0	5.0
136291	270.0	300.0	149.0	5.0
136301	270.0	300.0	150.0	5.0
136311	300.0	300.0	148.0	16.0
136322	300.0	300.0	149.0	14.0
136331	300.0	300.0	150.0	12.0
136341	300.0	300.0	151.0	11.0
136351	300.0	300.0	153.0	10.0
136361	300.0	300.0	154.0	9.0
136371	300.0	300.0	155.0	8.0
136381	300.0	300.0	156.0	8.0
136391	300.0	300.0	156.0	7.0
136401	300.0	300.0	157.0	7.0
136412	300.0	300.0	158.0	7.0
136421	330.0	300.0	156.0	24.0
136431	330.0	300.0	157.0	22.0
136441	330.0	300.0	159.0	21.0
136452	330.0	300.0	160.0	20.0
136461	330.0	300.0	161.0	19.0
136471	330.0	300.0	162.0	18.0
136481	330.0	300.0	163.0	18.0
136492	330.0	300.0	164.0	18.0
136502	0.0	300.0	162.0	35.0
136511	0.0	300.0	163.0	34.0
136521	0.0	300.0	164.0	32.0
136531	0.0	300.0	165.0	31.0
136542	0.0	300.0	166.0	31.0
136551	0.0	300.0	167.0	31.0
136561	0.0	300.0	168.0	30.0
136571	0.0	300.0	169.0	30.0
136582	0.0	300.0	170.0	31.0
136592	0.0	300.0	171.0	31.0
136601	0.0	300.0	172.0	31.0
136611	0.0	300.0	173.0	32.0
136622	0.0	300.0	174.0	32.0
136632	30.0	300.0	172.0	50.0
136641	30.0	300.0	173.0	49.0
136651	30.0	300.0	174.0	49.0
136662	30.0	300.0	175.0	48.0
136672	30.0	300.0	176.0	48.0
136682	60.0	300.0	174.0	66.0
136691	60.0	300.0	176.0	65.0
136701	60.0	330.0	177.0	55.0
136712	60.0	330.0	178.0	55.0
136722	60.0	330.0	179.0	54.0
136731	60.0	330.0	180.0	55.0
136741	60.0	330.0	181.0	55.0
136752	60.0	330.0	182.0	55.0
136762	60.0	330.0	183.0	56.0
136771	60.0	330.0	184.0	57.0
136781	60.0	0.0	185.0	48.0
136792	90.0	0.0	186.0	55.0
136802	90.0	0.0	184.0	68.0
136812	90.0	0.0	185.0	67.0
136821	90.0	0.0	186.0	66.0
136832	90.0	0.0	188.0	66.0
136842	120.0	0.0	189.0	66.0
136852	120.0	0.0	187.0	84.0
136861	120.0	0.0	188.0	83.0
136871	120.0	30.0	189.0	73.0
136882	120.0	30.0	190.0	73.0
136892	120.0	30.0	192.0	73.0
136901	120.0	30.0	193.0	73.0
136911	120.0	30.0	194.0	73.0
136922	120.0	30.0	195.0	74.0
136932	120.0	30.0	196.0	75.0
136942	150.0	30.0	197.0	81.0
136951	150.0	30.0	194.0	94.0
136962	150.0	60.0	196.0	84.0
136972	150.0	90.0	197.0	74.0
136982	150.0	90.0	198.0	74.0
136991	150.0	90.0	199.0	74.0
137001	150.0	90.0	200.0	75.0
137012	150.0	90.0	201.0	75.0
137022	180.0	90.0	199.0	93.0
137031	180.0	90.0	200.0	92.0
137041	180.0	90.0	202.0	91.0
137052	180.0	120.0	203.0	81.0
137062	180.0	120.0	204.0	81.0
137072	180.0	120.0	205.0	81.0
137081	180.0	150.0	206.0	72.0
137092	180.0	150.0	207.0	73.0
137102	210.0	150.0	205.0	91.0
137112	210.0	150.0	206.0	89.0
137121	210.0	150.0	207.0	89.0
137132	210.0	150.0	207.0	88.0
137142	210.0	150.0	207.0	88.0
137152	210.0	180.0	207.0	78.0
137162	210.0	180.0	207.0	78.0
137171	210.0	180.0	207.0	78.0
137182	210.0	180.0	207.0	78.0
137192	210.0	210.0	207.0	79.0
137202	240.0	210.0	207.0	87.0
137211	240.0	210.0	207.0	86.0
137222	240.0	210.0	207.0	85.0
137232	240.0	210.0	207.0	84.0
137242	240.0	240.0	207.0	74.0
137251	270.0	240.0	207.0	92.0
